Tri;Legal perimeter;Perimètre spatial;Spatial perimeter;Filière;Sector;Power plant;Unit;Combustible;Fuel;Sous-filière;Sub-sector;Program contract;Date of industrial commissioning;Installed capacity ;Minimum design power;Maximum secondary reserve ;Unit;GPS position (wsg84);Region;INSEE region code;Department;INSEE department code;EPCI;INSEE EPCI code;Town;INSEE town code
25;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Nucléaire;Nuclear;CATTENOM;CATTENOM 4;Uranium Enrichi;Enriched Uranium;Réacteur à eau pressurisée (REP) 1300;Pressurised water reactor 1300;P'4;1992-01-01;1300;260;60;MW;49.415953, 6.218271;GRAND EST;44;MOSELLE;57;CC de Cattenom et Environs;245700695;Cattenom;57124
28;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Nucléaire;Nuclear;CHINON B;CHINON B 1;Multi-oxyde d’uranium et de plutonium;Multi-oxide of uranium and plutonium;Réacteur à eau pressurisée (REP) 900;Pressurised water reactor 900;CP2;1984-02-01;905;180;40;MW;47.228727, 0.168307;CENTRE-VAL DE LOIRE;24;INDRE-ET-LOIRE;37;CC Chinon, Vienne et Loire;200043081;Avoine;37011
29;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Nucléaire;Nuclear;CHINON B;CHINON B 2;Multi-oxyde d’uranium et de plutonium;Multi-oxide of uranium and plutonium;Réacteur à eau pressurisée (REP) 900;Pressurised water reactor 900;CP2;1984-08-01;905;180;40;MW;47.228727, 0.168307;CENTRE-VAL DE LOIRE;24;INDRE-ET-LOIRE;37;CC Chinon, Vienne et Loire;200043081;Avoine;37011
30;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Nucléaire;Nuclear;CHINON B;CHINON B 3;Multi-oxyde d’uranium et de plutonium;Multi-oxide of uranium and plutonium;Réacteur à eau pressurisée (REP) 900;Pressurised water reactor 900;CP2;1987-03-04;905;180;40;MW;47.228727, 0.168307;CENTRE-VAL DE LOIRE;24;INDRE-ET-LOIRE;37;CC Chinon, Vienne et Loire;200043081;Avoine;37011
31;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Nucléaire;Nuclear;CHINON B;CHINON B 4;Multi-oxyde d’uranium et de plutonium;Multi-oxide of uranium and plutonium;Réacteur à eau pressurisée (REP) 900;Pressurised water reactor 900;CP2;1988-04-01;905;180;40;MW;47.228727, 0.168307;CENTRE-VAL DE LOIRE;24;INDRE-ET-LOIRE;37;CC Chinon, Vienne et Loire;200043081;Avoine;37011
32;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Nucléaire;Nuclear;CHOOZ B;CHOOZ B 1;Uranium Enrichi;Enriched Uranium;Réacteur à eau pressurisée (REP) 1450;Pressurised water reactor 1450;N4;2000-05-15;1500;370;30;MW;50.090344, 4.789588;GRAND EST;44;ARDENNES;8;CC Ardenne, Rives de Meuse;240800821;Chooz;8122
33;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Nucléaire;Nuclear;CHOOZ B;CHOOZ B 2;Uranium Enrichi;Enriched Uranium;Réacteur à eau pressurisée (REP) 1450;Pressurised water reactor 1450;N4;2000-09-29;1500;370;30;MW;50.090344, 4.789588;GRAND EST;44;ARDENNES;8;CC Ardenne, Rives de Meuse;240800821;Chooz;8122
34;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Nucléaire;Nuclear;CIVAUX;CIVAUX 1;Uranium Enrichi;Enriched Uranium;Réacteur à eau pressurisée (REP) 1450;Pressurised water reactor 1450;N4;2002-01-29;1495;370;30;MW;46.46218, 0.648879;NOUVELLE-AQUITAINE;75;VIENNE;86;CC Vienne et Gartempe;200070043;Civaux;86077
35;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Nucléaire;Nuclear;CIVAUX;CIVAUX 2;Uranium Enrichi;Enriched Uranium;Réacteur à eau pressurisée (REP) 1450;Pressurised water reactor 1450;N4;2002-04-23;1495;370;30;MW;46.46218, 0.648879;NOUVELLE-AQUITAINE;75;VIENNE;86;CC Vienne et Gartempe;200070043;Civaux;86077
40;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Nucléaire;Nuclear;CRUAS;CRUAS 1;Uranium Enrichi;Enriched Uranium;Réacteur à eau pressurisée (REP) 900;Pressurised water reactor 900;CP2;1984-04-02;915;180;40;MW;44.63283, 4.750824;AUVERGNE-RHONE-ALPES;84;ARDECHE;7;CC Ardèche Rhône Coiron;200071405;Cruas;7076
41;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Nucléaire;Nuclear;CRUAS;CRUAS 2;Uranium Enrichi;Enriched Uranium;Réacteur à eau pressurisée (REP) 900;Pressurised water reactor 900;CP2;1985-04-01;915;180;40;MW;44.63283, 4.750824;AUVERGNE-RHONE-ALPES;84;ARDECHE;7;CC Ardèche Rhône Coiron;200071405;Cruas;7076
42;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Nucléaire;Nuclear;CRUAS;CRUAS 3;Uranium Enrichi;Enriched Uranium;Réacteur à eau pressurisée (REP) 900;Pressurised water reactor 900;CP2;1984-09-10;915;180;40;MW;44.63283, 4.750824;AUVERGNE-RHONE-ALPES;84;ARDECHE;7;CC Ardèche Rhône Coiron;200071405;Cruas;7076
43;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Nucléaire;Nuclear;CRUAS;CRUAS 4;Uranium Enrichi;Enriched Uranium;Réacteur à eau pressurisée (REP) 900;Pressurised water reactor 900;CP2;1985-02-11;915;180;40;MW;44.63283, 4.750824;AUVERGNE-RHONE-ALPES;84;ARDECHE;7;CC Ardèche Rhône Coiron;200071405;Cruas;7076
44;EDF SA;France métropolitaine, sans la Corse ni les iles du ponant;Metropolitan France, excluding Corsica and the Ponant Islands;Nucléaire;Nuclear;DAMPIERRE-EN-BURLY;DAMPIERRE 1;Multi-oxyde d’uranium et de plutonium;Multi-oxide of uranium and plutonium;Réacteur à eau pressurisée (REP) 900;Pressurised water reactor 900;CP1;1980-09-10;890;180;40;MW;47.732638, 2.517824;CENTRE-VAL DE LOIRE;24;LOIRET;45;CC du Val de Sully;200070100;Dampierre-en-Burly;45122
